TSEcod;IBGEcod;Municipio;UF;COD_UF_IBGE;UF_MUN;MAPA_2010;ELE_MUN_2008
04995;1505007;NOVA TIMBOTEUA;PA;15;PA_NOVA TIMBOTEUA;SIM;SIM
04383;1505031;NOVO PROGRESSO;PA;15;PA_NOVO PROGRESSO;SIM;SIM
04421;1505064;NOVO REPARTIMENTO;PA;15;PA_NOVO REPARTIMENTO;SIM;SIM
05010;1505106;OBIDOS;PA;15;PA_OBIDOS;SIM;SIM
05037;1505205;OEIRAS DO PARA;PA;15;PA_OEIRAS DO PARA;SIM;SIM
05053;1505304;ORIXIMINA;PA;15;PA_ORIXIMINA;SIM;SIM
05070;1505403;OUREM;PA;15;PA_OUREM;SIM;SIM
05959;1505437;OURILANDIA DO NORTE;PA;15;PA_OURILANDIA DO NORTE;SIM;SIM
05916;1505486;PACAJA;PA;15;PA_PACAJA;SIM;SIM
04162;1505494;PALESTINA DO PARA;PA;15;PA_PALESTINA DO PARA;SIM;SIM
05096;1505502;PARAGOMINAS;PA;15;PA_PARAGOMINAS;SIM;SIM
05835;1505536;PARAUAPEBAS;PA;15;PA_PARAUAPEBAS;SIM;SIM
04308;1505551;PAU D ARCO;PA;15;PA_PAU D ARCO;SIM;SIM
05118;1505601;PEIXE BOI;PA;15;PA_PEIXE BOI;SIM;SIM
04782;1505635;PICARRA;PA;15;PA_PICARRA;SIM;SIM
04626;1505650;PLACAS;PA;15;PA_PLACAS;SIM;SIM
05134;1505700;PONTA DE PEDRAS;PA;15;PA_PONTA DE PEDRAS;SIM;SIM
05150;1505809;PORTEL;PA;15;PA_PORTEL;SIM;SIM
05177;1505908;PORTO DE MOZ;PA;15;PA_PORTO DE MOZ;SIM;SIM
05193;1506005;PRAINHA;PA;15;PA_PRAINHA;SIM;SIM
05215;1506104;PRIMAVERA;PA;15;PA_PRIMAVERA;SIM;SIM
04685;1506112;QUATIPURU;PA;15;PA_QUATIPURU;SIM;SIM
05673;1506138;REDENCAO;PA;15;PA_REDENCAO;SIM;SIM
05690;1506161;RIO MARIA;PA;15;PA_RIO MARIA;SIM;SIM
05738;1506187;RONDON DO PARA;PA;15;PA_RONDON DO PARA;SIM;SIM
05894;1506195;RUROPOLIS;PA;15;PA_RUROPOLIS;SIM;SIM
05231;1506203;SALINOPOLIS;PA;15;PA_SALINOPOLIS;SIM;SIM
05258;1506302;SALVATERRA;PA;15;PA_SALVATERRA;SIM;SIM
04243;1506351;SANTA BARBARA DO PARA;PA;15;PA_SANTA BARBARA DO PARA;SIM;SIM
05274;1506401;SANTA CRUZ DO ARARI;PA;15;PA_SANTA CRUZ DO ARARI;SIM;SIM
05290;1506500;SANTA ISABEL DO PARA;PA;15;PA_SANTA ISABEL DO PARA;SIM;SIM
04146;1506559;SANTA LUZIA DO PARA;PA;15;PA_SANTA LUZIA DO PARA;SIM;SIM
05991;1506583;SANTA MARIA DAS BARREIRAS;PA;15;PA_SANTA MARIA DAS BARREIRAS;SIM;SIM
05312;1506609;SANTA MARIA DO PARA;PA;15;PA_SANTA MARIA DO PARA;SIM;SIM
05339;1506708;SANTANA DO ARAGUAIA;PA;15;PA_SANTANA DO ARAGUAIA;SIM;SIM
05355;1506807;SANTAREM;PA;15;PA_SANTAREM;SIM;SIM
05371;1506906;SANTAREM NOVO;PA;15;PA_SANTAREM NOVO;SIM;SIM
05398;1507003;SANTO ANTONIO DO TAUA;PA;15;PA_SANTO ANTONIO DO TAUA;SIM;SIM
05410;1507102;SAO CAETANO DE ODIVELAS;PA;15;PA_SAO CAETANO DE ODIVELAS;SIM;SIM
04464;1507151;SAO DOMINGOS DO ARAGUAIA;PA;15;PA_SAO DOMINGOS DO ARAGUAIA;SIM;SIM
05436;1507201;SAO DOMINGOS DO CAPIM;PA;15;PA_SAO DOMINGOS DO CAPIM;SIM;SIM
05452;1507300;SAO FELIX DO XINGU;PA;15;PA_SAO FELIX DO XINGU;SIM;SIM
05479;1507409;SAO FRANCISCO DO PARA;PA;15;PA_SAO FRANCISCO DO PARA;SIM;SIM
05797;1507458;SAO GERALDO DO ARAGUAIA;PA;15;PA_SAO GERALDO DO ARAGUAIA;SIM;SIM
04820;1507466;SAO JOAO DA PONTA;PA;15;PA_SAO JOAO DA PONTA;SIM;SIM
04065;1507474;SAO JOAO DE PIRABAS;PA;15;PA_SAO JOAO DE PIRABAS;SIM;SIM
05495;1507508;SAO JOAO DO ARAGUAIA;PA;15;PA_SAO JOAO DO ARAGUAIA;SIM;SIM
05517;1507607;SAO MIGUEL DO GUAMA;PA;15;PA_SAO MIGUEL DO GUAMA;SIM;SIM
05533;1507706;SAO SEBASTIAO DA BOA VIST;PA;15;PA_SAO SEBASTIAO DA BOA VIST;SIM;SIM
04847;1507755;SAPUCAIA;PA;15;PA_SAPUCAIA;SIM;SIM
05550;1507805;SENADOR JOSE PORFIRIO;PA;15;PA_SENADOR JOSE PORFIRIO;SIM;SIM
05576;1507904;SOURE;PA;15;PA_SOURE;SIM;SIM
04022;1507953;TAILANDIA;PA;15;PA_TAILANDIA;SIM;SIM
04545;1507961;TERRA ALTA;PA;15;PA_TERRA ALTA;SIM;SIM
04367;1507979;TERRA SANTA;PA;15;PA_TERRA SANTA;SIM;SIM
05592;1508001;TOME ACU;PA;15;PA_TOME ACU;SIM;SIM
04669;1508035;TRACUATEUA;PA;15;PA_TRACUATEUA;SIM;SIM
04286;1508050;TRAIRAO;PA;15;PA_TRAIRAO;SIM;SIM
04081;1508084;TUCUMA;PA;15;PA_TUCUMA;SIM;SIM
05614;1508100;TUCURUI;PA;15;PA_TUCURUI;SIM;SIM
04324;1508126;ULIANOPOLIS;PA;15;PA_ULIANOPOLIS;SIM;SIM
05754;1508159;URUARA;PA;15;PA_URUARA;SIM;SIM
05630;1508209;VIGIA;PA;15;PA_VIGIA;SIM;SIM
05657;1508308;VISEU;PA;15;PA_VISEU;SIM;SIM
04405;1508357;VITORIA DO XINGU;PA;15;PA_VITORIA DO XINGU;SIM;SIM
05711;1508407;XINGUARA;PA;15;PA_XINGUARA;SIM;SIM
06106;1600055;SERRA DO NAVIO;AP;16;AP_SERRA DO NAVIO;SIM;SIM
06017;1600105;AMAPA;AP;16;AP_AMAPA;SIM;SIM
06084;1600154;PEDRA BRANCA DO AMAPARI;AP;16;AP_PEDRA BRANCA DO AMAPARI;SIM;SIM
06033;1600204;CALCOENE;AP;16;AP_CALCOENE;SIM;SIM
06068;1600212;CUTIAS;AP;16;AP_CUTIAS;SIM;SIM
06114;1600238;FERREIRA GOMES;AP;16;AP_FERREIRA GOMES;SIM;SIM
06041;1600253;ITAUBAL;AP;16;AP_ITAUBAL;SIM;SIM
06130;1600279;LARANJAL DO JARI;AP;16;AP_LARANJAL DO JARI;SIM;SIM
06050;1600303;MACAPA;AP;16;AP_MACAPA;SIM;SIM
06076;1600402;MAZAGAO;AP;16;AP_MAZAGAO;SIM;SIM
06092;1600501;OIAPOQUE;AP;16;AP_OIAPOQUE;SIM;SIM
06025;1600535;PORTO GRANDE;AP;16;AP_PORTO GRANDE;SIM;SIM
06009;1600550;PRACUUBA;AP;16;AP_PRACUUBA;SIM;SIM
06157;1600600;SANTANA;AP;16;AP_SANTANA;SIM;SIM
06173;1600709;TARTARUGALZINHO;AP;16;AP_TARTARUGALZINHO;SIM;SIM
06122;1600808;VITORIA DO JARI;AP;16;AP_VITORIA DO JARI;SIM;SIM
73008;1700251;ABREULANDIA;TO;17;TO_ABREULANDIA;SIM;SIM
73512;1700301;AGUIARNOPOLIS;TO;17;TO_AGUIARNOPOLIS;SIM;SIM
96954;1700350;ALIANCA DO TOCANTINS;TO;17;TO_ALIANCA DO TOCANTINS;SIM;SIM
92070;1700400;ALMAS;TO;17;TO_ALMAS;SIM;SIM
92134;1700707;ALVORADA;TO;17;TO_ALVORADA;SIM;SIM
92193;1701002;ANANAS;TO;17;TO_ANANAS;SIM;SIM
73075;1701051;ANGICO;TO;17;TO_ANGICO;SIM;SIM
